Entity,Code,Year,Passenger demand (billion passenger-km),Freight demand (million-ton km),Energy intensity (per passenger-km),CO₂ per unit energy (gCO₂eq per MJ),CO₂ intensity (gCO₂ per passenger-km),CO₂ emissions (billion tonnes)
World,OWID_WRL,1990,1964,56125,2.85,125.2,356.8,0.54
World,OWID_WRL,1991,1919,56142,2.8,125.4,351.1,0.53
World,OWID_WRL,1992,1996,61025,2.67,125.9,336.2,0.53
World,OWID_WRL,1993,2027,67523,2.6,125.7,326.8,0.53
World,OWID_WRL,1994,2195,77183,2.47,125.5,310,0.56
World,OWID_WRL,1995,2333,83098,2.37,125.5,297.4,0.57
World,OWID_WRL,1996,2532,89165,2.29,125.9,288.3,0.6
World,OWID_WRL,1997,2655,102876,2.2,125.7,276.5,0.62
World,OWID_WRL,1998,2747,101788,2.2,125.2,275.4,0.63
World,OWID_WRL,1999,2931,108630,2.13,125.1,266.5,0.65
World,OWID_WRL,2000,3129,118257,2.05,125.7,257.7,0.67
World,OWID_WRL,2001,3039,110861,2.09,125.4,262.1,0.66
World,OWID_WRL,2002,3070,117507,2.06,125.5,258.5,0.67
World,OWID_WRL,2003,3177,124203,1.97,125.4,247,0.66
World,OWID_WRL,2004,3590,139033,1.86,125.5,233.4,0.7
World,OWID_WRL,2005,3880,141484,1.83,125,228.8,0.73
World,OWID_WRL,2006,4125,148938,1.74,125.1,217.7,0.74
World,OWID_WRL,2007,4415,158206,1.67,124.9,208.6,0.76
World,OWID_WRL,2008,4476,158488,1.64,125.3,205.5,0.75
World,OWID_WRL,2009,4492,175509,1.51,124.8,188.4,0.71
World,OWID_WRL,2010,4923,182026,1.47,124.8,183.5,0.75
World,OWID_WRL,2011,5246,183037,1.44,125.3,180.4,0.77
World,OWID_WRL,2012,5527,175051,1.41,125.9,177.5,0.78
World,OWID_WRL,2013,5831,175830,1.4,125,175,0.8
World,OWID_WRL,2014,6179,184831,1.36,125.1,170.1,0.83
World,OWID_WRL,2015,6643,187769,1.36,125.1,170.1,0.87
World,OWID_WRL,2016,7133,194898,1.33,125.5,166.9,0.91
World,OWID_WRL,2017,7699,212867,1.31,125.1,163.9,0.97
World,OWID_WRL,2018,8148,221166,1.3,124.4,161.7,1.01
World,OWID_WRL,2019,8597,221496,1.26,124.9,157.4,1.03
World,OWID_WRL,2020,2990,180531,1.65,124.9,206.1,0.61
World,OWID_WRL,2021,6080,238994,1.13,124.9,141.1,0.73
