Entity,Year,International tourist arrivals by region of origin
Africa (UNWTO),1995,12711738
Africa (UNWTO),1996,13949302
Africa (UNWTO),1997,13688450
Africa (UNWTO),1998,15398049
Africa (UNWTO),1999,15328319
Africa (UNWTO),2000,16246271
Africa (UNWTO),2001,17593205
Africa (UNWTO),2002,19112336
Africa (UNWTO),2003,19254975
Africa (UNWTO),2004,20089337
Africa (UNWTO),2005,21014589
Africa (UNWTO),2006,25972710
Africa (UNWTO),2007,29776991
Africa (UNWTO),2008,30682908
Africa (UNWTO),2009,28222179
Africa (UNWTO),2010,30628418
Africa (UNWTO),2011,28470645
Africa (UNWTO),2012,31272877
Africa (UNWTO),2013,32383855
Africa (UNWTO),2014,34728452
Africa (UNWTO),2015,37279894
Africa (UNWTO),2016,40921796
Africa (UNWTO),2017,43193672
Africa (UNWTO),2018,45768715
Africa (UNWTO),2019,47386862
Africa (UNWTO),2020,12806461
Africa (UNWTO),2021,13770804
Africa (UNWTO),2022,19453734
Africa (UNWTO),2023,19722988
Africa (UNWTO),2024,24057738
Americas (UNWTO),1995,96773737
Americas (UNWTO),1996,104796547
Americas (UNWTO),1997,108885034
Americas (UNWTO),1998,114685777
Americas (UNWTO),1999,116950912
Americas (UNWTO),2000,125840615
Americas (UNWTO),2001,121004174
Americas (UNWTO),2002,117602571
Americas (UNWTO),2003,111819907
Americas (UNWTO),2004,124960260
Americas (UNWTO),2005,131885404
Americas (UNWTO),2006,138245503
Americas (UNWTO),2007,145510691
Americas (UNWTO),2008,145943735
Americas (UNWTO),2009,141099848
Americas (UNWTO),2010,150756582
Americas (UNWTO),2011,157807422
Americas (UNWTO),2012,164628942
Americas (UNWTO),2013,169928168
Americas (UNWTO),2014,185176358
Americas (UNWTO),2015,193272111
Americas (UNWTO),2016,203256611
Americas (UNWTO),2017,218156574
Americas (UNWTO),2018,229541147
Americas (UNWTO),2019,235123649
Americas (UNWTO),2020,52986606
Americas (UNWTO),2021,68478586
Americas (UNWTO),2022,144817624
Americas (UNWTO),2023,151035051
Americas (UNWTO),2024,171304024
East Asia and the Pacific (UNWTO),1995,113451011
East Asia and the Pacific (UNWTO),1996,123812376
East Asia and the Pacific (UNWTO),1997,128756387
East Asia and the Pacific (UNWTO),1998,129859798
East Asia and the Pacific (UNWTO),1999,146637003
East Asia and the Pacific (UNWTO),2000,166939806
